四字熟語,読み,意味,漢検配当級
隻紙断絹,せきしだんけん,文字が書かれている布や紙の切れ端。 「隻紙」は紙の切れ端。 「断絹」は布の切れ端。 貴重な文字が書かれている紙や布の切れ端のことをいう。,準2級
積日累久,せきじつるいきゅう,役人などが功績や功労を長い期間積み重ねること。 「積日」は日数を重ねること。 「累久」はいつまでも続くこと。 官吏の昇格について、才能や能力ではなく、年数による功績や功労だけで昇格させると、才能や能力がある人が育たないと、中国の前漢の董仲舒が武帝に上申した故事から。,準2級
積善余慶,せきぜんのよけい,善い行いを何度も行った家は、子孫にもその恩恵があるということ。 「積善」は善い行いを積み重ねること。 「余慶」は子孫にも幸福が及ぶこと。 「積善の家には必ず余慶あり」を略した言葉。,準2級
責任転嫁,せきにんてんか,自分が負わなければならない義務や償いを他人に負わせること。 または、自分が失敗したことを人のせいにすること。 「転嫁」は二度目の嫁入りという意味から、他の場所へ移すということ。,準2級
隻履西帰,せきりせいき,死んだはずの達磨大師が、片方の草履を手に持って天竺に帰ったという故事のこと。 「隻」は一対のうちの片方のもの。 達磨大師の死後三年たったときに、求法の旅に出ていた宋雲が西から帰る途中で片方の草履を持った達磨大師を見かけた。 その後、達磨大師の棺を開けてみると、片方の草履がなくなっていたという故事から。 「隻履西に帰る」とも読む。,準2級
殺生禁断,せっしょうきんだん,生き物を捕ったり、殺したりすることを禁止すること。 仏教の言葉で、慈悲の心から、鳥や魚、獣などを捕ったり、殺したりすることを禁止するもの。十悪の一つとされる。,準2級
雪案蛍窓,せつあんけいそう,苦労して勉学に励むこと。 雪明かりと蛍の光で勉強するという意味から。 貧しかった孫康は、雪明かりで勉強したという故事と、同じように貧しかった車胤は、灯火の油を買うことができず、蛍を集めて、その光で勉強したという二つの故事を合わせた言葉。,準2級
遷客騒人,せんかくそうじん,故郷から遠く離れた土地に左遷させられた人や、心に憂いをもっている人のこと。 または、詩人や文人の別称。 「遷客」は左遷されて遠い土地に来た人。 「騒人」は心に憂いをもつ人。 どちらも詩に自身の思いを込めるということから、詩人や文人のたとえ。,準2級
千古不磨,せんこふま,いつまでもなくならないこと。または、途絶えることなく、伝わり続けること。 「千古」は遠い昔のこと。または、遠い過去から現在まで。 「不磨」は磨り減ってなくなることがないということ。 すぐれた伝統や芸術、技術などがいつまでも受け継がれていくことについていう。,準2級
仙才鬼才,せんさいきさい,普通の人から抜きん出ているすぐれた才能のこと。 「仙才」は仙人の術を習得した才能。 「鬼才」は人並み外れた、ずば抜けた才能。 中国の唐の詩人の李白は仙才、李賀は鬼才と言われていたという故事から。,準2級
仙姿玉質,せんしぎょくしつ,非常に美しい容姿の女性のこと。 「仙姿」は仙女の姿という意味から、気高く立派で優雅な姿のこと。 「玉質」は磨き上げた宝石のように、なめらかで美しい肌ということ。,準2級
浅酌低唱,せんしゃくていしょう,酒を軽く飲んで歌や詩を小声で口ずさむこと。 「浅酌」は少量の酒をたしなむ程度に軽く飲むこと。 「低唱」は歌を小さく低い声で歌うこと。,準2級
千緒万端,せんしょばんたん,様々な物事が数多く入り混じっていて分かり辛いこと。 「千」と「万」は数が多いことのたとえ。 「緒」と「端」は物事の始めのこと。 物事の始まりが多すぎて、何から始めればいいのかわからないという意味から。,準2級
仙風道骨,せんぷうどうこつ,普通の人とは違う、すぐれた人の姿のこと。 仙人や道士などのこの世を超越した人の姿ということから。,準2級
禅譲放伐,ぜんじょうほうばつ,王朝を交代する二つの方法。 「禅譲」は世襲せずに、君主が自ら選んで徳がある人に譲ること。 「放伐」は悪政を行う君主を、臣下が武力で打ち倒したり、追放したりして地位を奪うこと。,準2級
前代未聞,ぜんだいみもん,いまだかつて聞いたことがないようなこと。 大変な出来事や珍しい出来事などをいう言葉。 「前代」は現在より前の時代のこと。 「未聞」は一度も聞いたことがないこと。,準2級
漸入佳境,ぜんにゅうかきょう,話や状況が次第に興味深いところに入っていくこと。 「漸入」は深いところに少しずつ入っていくこと。 「佳境」は一番面白く興味深いこと。 中国の晋の画家の顧ガイ之は、好物のサトウキビを食べるときにおいしくないところから食べていたが、その理由を聞かれると、「漸く佳境に入る」と答えたという故事から。 「漸く佳境に入る」とも読む。,準2級
巣林一枝,そうりんいっし,能力や地位に相応しい暮らしで満足すること。 鳥は林の中にある木の一本の枝に巣を作り、その枝だけを使うという意味から。,準2級
即身成仏,そくしんじょうぶつ,生きたまま悟りの境地に達して仏になること。 「即身」は肉体が生きている状態のこと。 「成仏」は仏になること。,準2級
大願成就,たいがんじょうじゅ,大きな願いごとがかなうこと。 また、神仏に願ったことがかなうこと。 「大願」は大きな願いのこと。 「成就」は望んだことが望んだ通りになること。,準2級
対牛弾琴,たいぎゅうだんきん,苦労しても何も効果がなく無駄なこと。 または、愚かな人に立派な道理を説いて聞かせること。 牛に琴を弾いて聞かせても意味がないことから。,準2級
大言壮語,たいげんそうご,実力の伴っていない威勢のいい誇張した話をすること。 「大言」は大げさな言葉、誇張した話。 「壮語」は威勢のいい大きなことを言うこと。,準2級
大巧若拙,たいこうじゃくせつ,極めて巧みなものほど、少し見ただけでは粗雑に見えるということ。 または、極めて優れた技量の持ち主は、逆に不器用に見えるということ。 「大巧は拙なるが若し」とも読む。,準2級
大悟徹底,たいごてってい,欲望や迷いなどの煩悩を全て捨てて悟りを得ること。 「大悟」は真理を会得すること。 「徹底」は端から端まで全てに行きとどくこと。,準2級
泰山府君,たいざんふくん,人の寿命をつかさどるとされる中国の泰山の神のこと。 「泰山」は中国の山の名前。 「府君」は郡の最高位の長官のこと。ここでは泰山の最高位との意から神のこと。 「太山府君」とも書く。 また、「東岳大帝」ともいう。,準2級
泰山北斗,たいざんほくと,学問や芸術などの一つの分野で最もすぐれている人のこと。 「泰山」は中国の名高い山、「北斗」は星座の北斗七星のことで、どちらも人が見上げるものであることから。,準2級
対症下薬,たいしょうかやく,問題点を確認して、それに合わせた処置をすること。 「対症」は病気の症状に合わせて対処すること。 「下薬」は薬を与えること。 「症に対して薬を下す」とも読む。,準2級
泰然自若,たいぜんじじゃく,心が落ち着いていて、冷静さを失うことがないこと。 「泰然」は心に余裕があって落ち着いている様子。 「自若」はどんなことに対しても常に冷静な様子。,準2級
多言数窮,たげんすうきゅう,口数が多すぎると、逆に上手い言い方が出来なくなって困るということ。 または、口数が多すぎると言葉の意味が軽くなって力がなくなるということ。 「窮」は処置に困って苦しむこと。 喋りすぎることを戒めた言葉。 「多言は数窮す」と読むことが多い言葉。,準2級
淡粧濃抹,たんしょうのうまつ,美しい女性の容姿のこと。 または、女性の化粧のこと。 「淡粧」は薄い化粧。 「濃抹」は濃い化粧。 どちらの化粧も、それぞれの良さがあって美しいという意味から。 中国の北宋の蘇軾が、中国四大美女の西施と、湖の西湖の美しさを比べて評した詩から。,準2級
大喝一声,だいかついっせい,大きな一声で厳しく叱ること。 または、その声のこと。 「喝」は禅宗で使われる修行者の迷いや邪心を、厳しく叱ったり励ますときのかけ声のこと。,準2級
大兵肥満,だいひょうひまん,体が大きく、太っている体格のこと。 または、そのような人のこと。 「大兵」はたくましくて大きい体のこと。,準2級
打成一片,だじょういっぺん,他のことを全て忘れて、一つのことだけに力を尽くすこと。 仏教の言葉で、禅宗の座禅に没頭して達する悟りの境地のこと。,準2級
打草驚蛇,だそうきょうだ,必要のないことをしたために、無駄な災難にあうこと。 草をたたいて、草の中に隠れている蛇を驚かすという意味から。 「草を打って蛇を驚かす」とも読む。 五代十国時代の南唐で、賄賂で私服を肥やしたとされる地方長官の王魯の故事から。,準2級
男耕女織,だんこうじょしょく,男性と女性、それぞれに天から与えられた、果たすべき仕事があるということ。 男性が畑を耕し、女性が機を織ることを仕事にするのは自然なことであるという意味から。,準2級
断悪修善,だんなくしゅぜん,全ての煩悩を捨て去るという誓いのこと。 全ての悪を断ち切って善を修めるという意味の仏教の言葉で、菩薩の誓願の一つ。 「悪を断ち善を修む」とも読む。,準2級
地角天涯,ちかくてんがい,二つの地がきわめて離れていることのたとえ。 天の果て、大地の角という意味。,準2級
知崇礼卑,ちすうれいひ,真の知者は知識が増えれば増えるほど、謙遜して他人に対して礼を尽くすものであるということ。 「崇」は高く積み上げること。 「卑」は謙遜すること。,準2級
鋳山煮海,ちゅうさんしゃかい,たくさんの財産を蓄えること。 または、山や海の資源が豊かなこと。 「鋳山」は山から銅を採掘して銅貨を作ること。 「煮海」は海水を煮て塩を作ること。 「山に鋳、海を煮る」「山に鋳、海に煮る」とも読む。,準2級
抽薪止沸,ちゅうしんしふつ,問題を根元から解決すること。 「抽薪」は火のついている薪をかまどから引き抜くこと。 「止沸」は沸騰している湯を冷ますこと。 沸騰している湯を冷ますために、燃えている薪をかまどから引き抜くということから。 「薪を抽きて沸を止む」とも読む。,準2級
中途半端,ちゅうとはんぱ,始めたことが最後まで終わっていないこと。 または、はっきりと決めることができないあいまいな態度のこと。 「中途」は道の半ばのこと。 「半端」は必要なものが全てそろっていないことや、はっきりと決められないあいまいな態度のこと。,準2級
朝真暮偽,ちょうしんぼぎ,真偽を見極めることが難しいこと。 または、信念や主義などがすぐに変わる人のこと。 朝と夕方で真実とうそが入れ変わるという意味から。 元は中国の唐の詩人の白居易が、信念や主義などをすぐに変える人のことを風刺した言葉。,準2級
長命富貴,ちょうめいふうき,長生きで、高い地位を持っていて、多くの資産があること。 「貴」は高い地位を持っていること。,準2級
陳勝呉広,ちんしょうごこう,他の人よりも先に物事を行う人のこと。 または、反乱をするときの一番最初の指導者のこと。 「陳勝」と「呉広」は人の名前。 古代中国の秦の時代、楚の陳勝と呉広は、協力して秦の圧政に苦しむ人々を引き連れて反乱を起こしたが、一度は勝利したが最終的に戦いに敗れた。 そこから、各地で反乱を起こす人が現われ、秦を滅ぼしたという故事から。,準2級
沈黙寡言,ちんもくかげん,落ち着きがあって、口数が少ないこと。 「寡言」は言葉が少ないという意味から、無口なこと。,準2級
追奔逐北,ついほんちくほく,走って逃げる賊などを追いかけるという意味。 「追」と「逐」は追いかけるという意味。「奔」と「北」は走って逃げるという意味。,準2級
津津浦浦,つつうらうら,全国のありとあらゆる場所のこと。 「津」は港、「浦」は海岸や海辺のことで重ねて強調した言葉。 どこの津でも、どこの浦でもという意味。,準2級
低唱微吟,ていしょうびぎん,低く小さい声で物静かに歌を口ずさむこと。 「低唱」は低い声で詩歌を歌うこと。 「微吟」は小さな声で詩歌を歌うこと。 意味が類似している言葉を重ねて強調したもの。,準2級
徹頭徹尾,てっとうてつび,始めから終わりまで意志や覚悟を曲げないこと。 「徹」は貫くこと。頭から尾まで貫くという意味から。,準2級
天下泰平,てんかたいへい,世の中が平和な状態で安定していて、穏やかな状態のこと。 または、心配事もなくのびのびとしている様子のこと。 「天下」は天の下の全てという意味から全世界や国全体のこと。 「泰平」は世の中が平和なこと。 「天下太平」とも書く。,準2級
天涯孤独,てんがいこどく,血縁者や婚姻関係にある人がいないこと。 または、故郷を出て一人で暮らすこと。 「天涯」は空の果て。または、故郷から離れた土地。 「孤独」は信頼できる人が一人もいないこと。,準2級
天涯地角,てんがいちかく,二つの地がきわめて離れていることのたとえ。 天の果て、大地の角という意味から。,準2級
天涯比隣,てんがいひりん,どれだけ遠く離れていても、すぐ近くにいるように親しく感じること。 主に親友などについていう言葉。 「天涯」は非常に距離が離れていること。 「比隣」は隣の家。,準2級
天懸地隔,てんけんちかく,違いが非常に激しいこと。 天と地ほどに大きな違いがあるという意味から。,準2級
天井桟敷,てんじょうさじき,大きな劇場で、料金が安く、一番天井に近い後ろの客席のこと。 一番奥にあるために見づらく、せりふも聞き取り辛いが、料金が安いために何度も通う芝居好きで見方の上手い客が多く、演者には重要視された。,準2級
天壌無窮,てんじょうむきゅう,いつまでも終わることなく、天と地と共に続いていくこと。 「天壌」は天と地のことで、広く大きいことや終わりがないことのたとえ。 「無窮」は極まりないという意味から、永遠や永久のたとえ。,準2級
泥船渡河,でいせんとか,世間との付き合いが危険なことのたとえ。 泥の船で河を渡るという意味から。,準2級
桃紅柳緑,とうこうりゅうりょく,春の景色の美しさの形容。 桃の美しい紅い花と、柳のあざやかな緑の葉という意味から。,準2級
東奔西走,とうほんせいそう,仕事や用事などの目的を果たすために、いろいろな方向や場所へ忙しく走り回ること。 「奔」と「走」はどちらも走るという意味。 目的を果たすために、東の方向へ走った後に反対の西の方向へ走るという意味から。,準2級
等量斉視,とうりょうせいし,全ての人を区別することなく、同じように扱うこと。 全てのものを同じように量り、同じように視るという意味から。 「等しく量り斉しく視る」とも読む。,準2級
徳性滋養,とくせいじよう,道徳心を育てること。 「徳性」は生まれつきに持っている道徳的な性質。 「滋養」は育てるという意味。,準2級
徳量寛大,とくりょうかんだい,立派な徳を持っていて、広く大きな心があること。,準2級
斗折蛇行,とせつだこう,川や道が曲がりくねっていて長く続いている様子。 「斗折」の「斗」は星座の北斗七星のことで、北斗七星のように折れ曲がっている様子。 「蛇行」は蛇がくねって移動するように、曲がりくねっている様子。,準2級
塗抹詩書,とまつししょ,幼い子供のこと。 または、幼い子供のいたずらのこと。 「塗抹」は塗りつぶすこと。 「詩書」は儒教で大切にされている経典の詩経と書経。 儒教では大切にされている経典も、幼児は気にかけることなく塗りつぶしてしまうという意味から。 「詩書を塗抹す」とも読む。,準2級
洞庭春色,どうていしゅんしょく,みかんを使って発酵、熟成させて作った酒のこと。 「洞庭」は中国にある湖の名前、洞庭湖のことで、洞庭湖の春の景色という意味から。 中国では立春の日にこの酒を飲んでいたとされている。,準2級
独弦哀歌,どくげんあいか,一人で弦楽器を引いて、悲しげな調子で歌を歌うこと。 または、痛ましい様子で弁舌すること。 「独絃哀歌」とも書く。,準2級
読書尚友,どくしょしょうゆう,読書をすることで、昔の賢者を友とすること。 書物を読むことで、その人物の人格や、その時代を明らかにすることをいう。,準2級
読書百遍,どくしょひゃっぺん,意味の難しい文章でも、何度も読むことで自然に理解できるということ。 「百遍」は百回行うということから、何度も行うことのたとえ。 「読書百遍、意自ずから通ず」という形で使うことの多い言葉。 中国の三国時代、魏の薫遇が読書の大切さを弟子に説いたという言葉から。,準2級
土豪劣紳,どごうれっしん,農民から搾取するあくどい地方豪族や資産家のこと。 「土豪」は地方豪族のこと。 「劣紳」は下品で卑しい紳士ということから、地主や資産家を軽蔑して呼ぶ名称。,準2級
土木壮麗,どぼくそうれい,庭や建物が大きく美しいこと。 「土木」は家の造作という意味から、庭や建物のたとえ。 「壮麗」は大きくて立派なこと。,準2級
内剛外柔,ないごうがいじゅう,穏やかで優しそうな見た目だが、実際は何事にも意思を曲げない強い心を持っていること。 「柔」は優しいや地味という意味で、「剛」は心が強いこと。,準2級
内柔外剛,ないじゅうがいごう,外見は強く見えるが、本当は気が弱いこと。 「柔」はやわらかくて弱いという意味。 「剛」はかたくて強いという意味。,準2級
内政干渉,ないせいかんしょう,ある国の政治や外交などの問題に他国が口を出すこと。 「干渉」は他人の領域に勝手に介入すること。,準2級
内疎外親,ないそがいしん,内心は嫌っているが、それを隠して親しげに接すること。 「内疎」は内側で嫌っていること。 「外親」は外側で親しいように見せかけること。,準2級
内憂外患,ないゆうがいかん,国の内側にも外側にも問題や心配事がたくさんあること。 「内憂」は内側に問題があることで国内の問題のこと。 「外患」は外側に問題があることで外国から受ける災難や問題のこと。 国だけではなく、組織や個人などの表現にも使われる言葉。,準2級
南無三宝,なむさんぼう,仏門に入り、仏教の三宝を信じて、仏に頼ること。 または、驚いたり失敗したときに「南無三」と略して発する言葉。 「南無」は経典や仏の名前の前につけて、絶対的な信頼を寄せて頼ること。 「三宝」は仏、仏の教え、教えをひろめる僧のこと。,準2級
二河白道,にがびゃくどう,仏教での極楽往生へ至るための道のこと。 「二河」は怒りを示す火の河と貪欲を示す水の河のこと。 二つの河に挟まれた極楽の彼岸に到達する白い道のことで、両側から火と水が迫り、後ろからも追っ手が迫っている中で一心にその道を進むと、ついには極楽浄土へたどり着いたことから、煩悩にまみれた人でも念仏一筋につとめれば悟りの彼岸にいたることを説いたもの。,準2級
肉食妻帯,にくじきさいたい,明治以前に浄土真宗以外で禁じられていた、僧侶が肉を食べ、妻を持つこと。,準2級
如是我聞,にょぜがもん,仏教で経文の冒頭に記される定型の言葉。 「私はこのようにお聞きしました」という意味。,準2級
如法暗夜,にょほうあんや,明かりの一切無い本当の暗闇のこと。 「如法」は本当に、文字通りという意味。 「暗夜」は月の出ない真っ暗な夜のこと。,準2級
廃寝忘食,はいしんぼうしょく,他のことを忘れてしまうほど、一つのことに夢中になること。 または、集中して一つのことを頑張ること。 「廃寝」は寝ることをやめる、「忘食」は食事を忘れることで、寝ることもせず食べることも忘れるほど没頭するという意味から。,準2級
杯中蛇影,はいちゅうのだえい,疑う気持ちが強くなると、つまらないことでも過剰に気になり病んでしまうことのたとえ。 自分の杯の酒に蛇の形をした影が映っているのを見て、蛇を飲み込んでしまったと思い込んで病気になったが、後にその影は蛇ではなく壁にかけていた弓のものであったと知ると、すぐに病気が治ったという故事から。,準2級
敗柳残花,はいりゅうざんか,容姿の美しい女性が老いて、容姿が衰えたことのたとえ。または、不貞な女性や売春婦のたとえ。 中国では美しい女性のことを、柳葉眉や花顔など柳や花にたとえとして使っていて、枯れた柳と咲き終えた花という意味から。,準2級
白衣宰相,はくいのさいしょう,地位を持っていないのに、大きな権力を持っている人。または、地位を持っていないのに、宰相のような待遇を受けること。 「白衣」は白い色の服のことで、官位にある人は、官位ごとの決まっている色の服を着たということから、官位のない人のこと。 「宰相」は政務を執る官位の最高位のこと。,準2級
白首窮経,はくしゅきゅうけい,歳をとって老いるまで学問に精を出すこと。 「白首」は白い頭という意味から、白髪頭のことで老人のたとえ。 「窮経」は儒教の基本経典とされる五経を研究すること。,準2級
伯仲叔季,はくちゅうしゅくき,兄弟の順序の呼び名。 一番上の兄から順番に「伯」、次男を「仲」、三男を「叔」、末弟を「季」と呼ぶ。,準2級
伯楽一顧,はくらくのいっこ,賢者がすぐれた君主に才能が認められ、重要な地位を与えられること。 「伯楽」は中国の春秋時代の人の名前。 伯楽が一度振り返るという意味から。 伯楽は名馬を見分ける達人として有名で、馬を市場に出したが三日売れなかったために、伯楽に振り返ってくれるように頼んだところ、その日のうちに十倍の値段がついて売れたという故事から。,準2級
破邪顕正,はじゃけんしょう,不正を打破して、正しい行いを示して守ること。 仏教の言葉で、邪説を打破して、正しい仏教の道を指し示すことをいう。,準2級
八索九丘,はっさくきゅうきゅう,古い書物の名前。 「八索」は八卦のことが書かれているとされる書物。 「九丘」は地理のこと書かれているとされる書物。 古代中国の書物で、どちらも現存していない。,準2級
発憤興起,はっぷんこうき,気持ちを奮い立たせて、立ち上がること。 または、気合を入れて、力を尽くすこと。 「発憤」は気持ちを奮い立たせること。 「興起」は立ち上がること。または、励むこと。 「発奮興起」とも書く。,準2級
発憤忘食,はっぷんぼうしょく,食事を忘れるほどに気合を入れて取り組むこと。 「発憤」は気持ちを奮い立たせること。 「忘食」は食べることを忘れるほどに夢中になること。 孔子が孔子自身の勉学に取り組む姿勢を言った言葉。 「発奮して食を忘る」とも読む。 「発奮忘食」とも書く。,準2級
煩言砕辞,はんげんさいじ,細かく複雑な言葉。 「煩言」は複雑で面倒な言葉。 「砕辞」は細かくて複雑な言葉。,準2級
版籍奉還,はんせきほうかん,明治維新の後に行われた政治改革で、日本全国の藩主が朝廷に領地と領民を返還したこと。 「版籍」は版図と戸籍のことで、土地と領民のこと。 「奉還」は返すという意味の言葉で、それを謙って言う言葉。 「藩籍奉還」とも書く。,準2級
麦穂両岐,ばくすいりょうき,豊作の前兆。 または、善い政治が行われていることのたとえ。 「両岐」は二股に分かれること。 麦の穂が二股に分かれて、どちらにも実が実るということから。,準2級
伴食宰相,ばんしょくさいしょう,持っている地位に見合った能力がないこと。 または、言いなりになるだけの無能な大臣のこと。 「伴食」は主客のお供をして、食事をご馳走になること。または、仕事をせずに給料をもらうこと。 「宰相」は大臣のこと。 中国の唐の盧懐慎は、姚崇が政務を休んだときに、自分の能力が姚崇に及ばないということを知った。 それから盧懐慎は、独断で物事を処理することなく、姚崇に指示を仰いでいたということを、人々から「伴食宰相」と呼称されたという故事から。,準2級
万馬奔騰,ばんばほんとう,極めて盛んな勢いがあること。 「万馬」は非常に馬が多いこと。 「奔騰」は勢いよく走って高く飛び跳ねる。,準2級
万物斉同,ばんぶつせいどう,荘子の思想で、相対的な知を否定して、唯一絶対の観点からすれば、全てのものは同じであるというもの。 人の認識は善悪などの対立する概念を相対化して成り立っているが、それらを超越した絶対的な無の境地から見れば、全ては同じものであるということ。,準2級
被褐懐玉,ひかつかいぎょく,すぐれた才能を持っているが、表面には出さないこと。 「褐」はぼろぼろの服のことで、外見は粗末な服だが懐には宝玉を隠し持っているという意味。,準2級
被害妄想,ひがいもうそう,主に精神疾患にみられる症状で、特に根拠もないのに、他者から危害を受けていると思い込むこと。 「妄想」は間違ったことを根拠もなく信じること。,準2級
百載無窮,ひゃくさいむきゅう,いつまでも無くなることがないこと。 「百載」は「百歳」のことで、百年という意味から、永遠、永久という意味。 「無窮」は限りがないこと。 天地はいつまでも不変であることをいう言葉。,準2級
百世不磨,ひゃくせいふま,いつまでも消えることなく存在し続けること。 「百世」は世代が百代もの長い期間という意味から、非常に長い年月、後世まで長く続くという意味。 「不磨」は擦り減ってなくなることがないこと。,準2級
百戦錬磨,ひゃくせんれんま,実際に何度も戦闘を行って、鍛え上げられていること。 または、多くの経験を積み重ねていること。 「百戦」は非常に多くの戦いのたとえ。 「錬磨」は鍛え磨くという意味から技術や精神を向上させること。 多くの戦闘に参加して、武術を鍛え上げることをいう。 「百戦練磨」とも書く。,準2級
百八煩悩,ひゃくはちぼんのう,人間の持つ苦しみを生み出す全ての迷いのこと。 「煩悩」は仏教の言葉で、人間の心身の苦しみを生み出す迷いのこと。煩悩は百八種類あるとされている。,準2級
百花斉放,ひゃっかせいほう,学問や芸術などが、自由で盛んに行われて発展すること。 「百花」は花の数が非常に多いことのたとえ。 全ての花が同時に咲くという意味から。 1956年に主席である中国共産党の毛沢東が「百家争鳴」と共に掲げた標語の一つで、翌年には撤回された。,準2級
百古不磨,ひゃっこふま,いつまでも消えることなく存在し続けること。 「百古」は非常に長い年月、後世まで長く続くという意味。 「不磨」は擦り減ってなくなることがないこと。,準2級
富貴栄華,ふうきえいが,身分が高くて財産もあり、華やかに繁栄していること。 「富貴」は身分が高くて財産があること。 「栄華」はきらびやかに栄えていること。,準2級
富貴在天,ふうきざいてん,財産や地位は天命によって決まっており、人の思い通りにはならないということ。,準2級
富貴浮雲,ふうきふうん,富や地位などは、はかないものであるということ。 悪行で手にした財産や地位は、はかなく身につかないこと。 また、金銭や地位などに心がひきつけられることがないことのたとえとしても用いられる言葉。 「浮雲」は浮いている雲のことで、落ち着きが無くはかないものであることから。,準2級
富貴福沢,ふうきふくたく,財産や高い地位があって幸福なこと。 主に天から与えられる高い地位・財産・恵みのことをいう。 「福沢」は幸福と恵みのこと。,準2級
富貴利達,ふうきりたつ,多くの財産を得て、高い地位や官職に就くこと。 「富貴」は多くの財産と高い地位。 「利達」は利益を得て、高い地位や官職に就くこと。,準2級
風霜高潔,ふうそうこうけつ,清く澄み切った秋の景色のたとえ。 風が空高く吹き渡って、霜は白くて清らかに見えるという意味から。,準2級
風流韻事,ふうりゅういんじ,詩歌や書画などの高尚な遊びのこと。または、自然と親しむ上品で優雅な趣味のこと。 「風流」は上品で風情があること。 「韻事」は詩歌や書画などの風情がある高尚な遊びのこと。,準2級
不耕不織,ふこうふしょく,何かを生み出すような仕事をしないこと。 または、武士などの身分のこと。 田を耕すこともなく、機を織ることもないという意味から。 そのような仕事には、武士は関わることはないということから。,準2級
腐敗堕落,ふはいだらく,気持ちがゆるんで、だらしない生活をするようになること。 「腐敗」と「堕落」はどちらも行いが悪くなり、生活が乱れるという意味。,準2級
普遍妥当,ふへんだとう,どんな出来事や条件にも当てはまること。 「普遍」はどんなものにも共通すること。 「妥当」は無理がなく、ふさわしいこと。,準2級
不偏不党,ふへんふとう,主義や思想にこだわることなく、また特定の党に所属することなく、公平で中立の立場をとること。 「不偏」はかたよらないこと。 「不党」は特定の主義や主張を持つ党派に所属しないこと。,準2級
不立文字,ふりゅうもんじ,経典に書かれている教義や教条だけではなく、体験によって伝えることが最も大切であるということ。 禅宗の言葉で、悟りの境地は文字や言葉では表現できないという意味から。 「文字を立てず」とも読む。,準2級
附和雷同,ふわらいどう,自分の考えなどなく、周りの意見にむやみに同調すること。 「附和」は考えなく他人の意見に賛同すること。 「雷同」は雷の轟きで、物が共振するということ。 「付和雷同」とも書く。,準2級
粉骨砕身,ふんこつさいしん,力の限りを尽くして努力したり働いたりすること。 「粉骨」は骨を粉にすること。 「砕身」は身を砕くこと。 骨を粉にして身を砕くような努力をするという意味から。 特に任された仕事などに対して使うことが多い言葉。,準2級
聞風喪胆,ぶんぷうそうたん,評判やうわさを聞いて激しく驚くこと。 「聞風」はうわさ話のこと。 「喪胆」は胆を失う、激しく驚くという意味。 「風を聞きて胆を喪う」とも読む。,準2級
分崩離析,ぶんぽうりせき,組織がばらばらになること。 「分崩」はばらばらに崩れること。 「離析」は分裂するという意味。 人々が君主を見限って、人々の心が君主から離れて散り散りになることをいう。,準2級
弊衣破帽,へいいはぼう,「弊衣」はぼろぼろの服、「破帽」は破れた帽子のことで、むさくるしい粗野な身なりのこと。,準2級
褒衣博帯,ほういはくたい,大きな裾の服と広い帯のことで儒者の服のこと。 また、儒者や学者、文人のこと。 「褒衣」は裾の大きい服のこと。,準2級
放歌高吟,ほうかこうぎん,周りを気にせずに大声で歌を歌ったり詩を吟じたりすること。 「放歌」は周りを気にせずに歌うこと。 「高吟」は大きな声で詩歌を吟じること。,準2級
飽経風霜,ほうけいふうそう,世の中の様々な苦労を経験して、したたかで狡猾なこと。 「飽経」は飽きるほどに何度も経験すること。 「風霜」は困難なことや苦難なことのたとえ。,準2級
包蔵禍心,ほうぞうかしん,誰にも気付かれないように悪事を企むこと。 「包蔵」は包み隠すこと。 「禍心」は悪い行いをしようと計画すること。 「禍心を包蔵す」とも読む。 「苞蔵禍心」とも書く。,準2級
保革伯仲,ほかくはくちゅう,体制の維持を主張する保守政党と、体制の改革を主張する革新政党の議員の数がほとんど同じ状態のこと。 「保」は保守派の政党。 「革」は革新派の政党。 「伯仲」の「伯」は兄、「仲」は弟のことで、力に優劣がなく近いということ。,準2級
奔南狩北,ほんなんしゅほく,天子が災難に巻き込まれないように、北へ南へと逃れること。 「奔」は逃げること。 天子が災難を避けるために逃げることをはばかって、逃げるではなく狩りに行くと言っていたということから。,準2級
忙中有閑,ぼうちゅうゆうかん,どんなに忙しいときでも、一息つくくらいの暇はあること。 「忙中閑有り」とも読む。,準2級
母猿断腸,ぼえんだんちょう,激しい悲しみや苦しみ。 中国の東晋の桓温の部下が、舟に移動しているときに子猿を捕らえた。 母猿は岸をつたって、百里以上追いかけて船に飛び乗ったところで力尽き、母猿の腹を割くと腸がずたずたになっていたという故事から。,準2級
墨名儒行,ぼくめいじゅこう,主張している主義と実際に行っていることが食い違っていること。 儒家を批判している墨家と自称して、儒家の孔子の教えに従って行動するという意味から。,準2級
末路窮途,まつろきゅうと,「末路」は道の終わり、「窮途」は先のない道のことで、苦しい境遇や困難から逃げることが出来ない様子。 または、そのような状態で困り果てること。,準2級
満目荒涼,まんもくこうりょう,見渡すかぎり全てが荒廃している様子。 「満目」は視認できる距離全て。 「荒涼」は荒れて寂れていること。,準2級
名聞利養,みょうもんりよう,名声と財産を得ようとする欲のこと。 「名聞」は世間の評判、「利養」は身を削り財欲を満たすこと。,準2級
無学文盲,むがくもんもう,知識がなく、文字を読むことさえできないこと。 または、その人のこと。,準2級
無私無偏,むしむへん,自分の利益などを考えずに公平に行動や判断をすること。 「無偏」は偏ることがないこと。,準2級
